Node,Storage_(ton)
Austria,6870503.597122301
Belgium,647482.0143884891
Bulgaria,417266.1870503597
CzechR,2589928.0575539563
Germany,17647482.01438849
Denmark,654676.2589928057
Spain,2460431.654676259
France,9244604.316546762
Croatia,374100.71942446043
Hungary,4834532.37410072
Italy,14223021.58273381
Latvia,1568345.3237410071
Netherlands,10345323.741007194
Poland,2575539.568345323
Portugal,258992.80575539565
Romania,2374100.7194244605
Slovakia,2784172.6618705033
