Node,Terminal,Period,GasScenario,Cost_(EUR/ton)
Spain,PipelineImport,2,2,428.7883772353392
Spain,PipelineImport,3,2,433.5312552410102
Portugal,LNGImport,1,1,230.47166555292696
Portugal,LNGImport,2,1,235.21454355859802
Portugal,LNGImport,3,1,239.95742156426897
Portugal,LNGImport,1,2,424.04549922966817
Portugal,LNGImport,2,2,428.7883772353392
Portugal,LNGImport,3,2,433.5312552410102
Croatia,LNGImport,1,1,230.47166555292696
Croatia,LNGImport,2,1,235.21454355859802
Croatia,LNGImport,3,1,239.95742156426897
Croatia,LNGImport,1,2,424.04549922966817
Croatia,LNGImport,2,2,428.7883772353392
Croatia,LNGImport,3,2,433.5312552410102
Romania,RussianGas,1,1,230.47166555292696
Romania,RussianGas,2,1,235.21454355859802
Romania,RussianGas,3,1,239.95742156426897
Romania,RussianGas,1,2,424.04549922966817
Romania,RussianGas,2,2,428.7883772353392
Romania,RussianGas,3,2,433.5312552410102
Greece,LNGImport,1,1,230.47166555292696
Greece,LNGImport,2,1,235.21454355859802
Greece,LNGImport,3,1,239.95742156426897
Greece,LNGImport,1,2,424.04549922966817
Greece,LNGImport,2,2,428.7883772353392
Greece,LNGImport,3,2,433.5312552410102
Hungary,RussianGas,1,1,230.47166555292696
Hungary,RussianGas,2,1,235.21454355859802
Hungary,RussianGas,3,1,239.95742156426897
Hungary,RussianGas,1,2,424.04549922966817
Hungary,RussianGas,2,2,428.7883772353392
Hungary,RussianGas,3,2,433.5312552410102
Bulgaria,RussianGas,1,1,230.47166555292696
Bulgaria,RussianGas,2,1,235.21454355859802
Bulgaria,RussianGas,3,1,239.95742156426897
Bulgaria,RussianGas,1,2,424.04549922966817
Bulgaria,RussianGas,2,2,428.7883772353392
Bulgaria,RussianGas,3,2,433.5312552410102
