InterconnectorLinks,ToNode,Period,TransmissionMaxBuiltCapacity_in_MW
NO_Sørvest,DK_NorthSea,3,6000
FR_ChannelSea,EnergyHubEU,3,6000
GB_DoggerBank,EnergyHubEU,3,6000
GB_ScotlandEast,EnergyHubEU,3,6000
GB_SheppeyIsland,EnergyHubEU,3,6000
Germany,EnergyHubEU,3,6000
GreatBrit.,EnergyHubEU,3,6000
Netherlands,EnergyHubEU,3,6000
NL_Lagelander,EnergyHubEU,3,6000
NO_Sørvest,EnergyHubEU,3,6000
NO_Vestavind,EnergyHubEU,3,6000
NO2,EnergyHubEU,3,6000
NO3,EnergyHubEU,3,6000
NO5,EnergyHubEU,3,6000
FI_BalticSea,Finland,3,6000
GreatBrit.,FR_ChannelSea,3,6000
FR_Atlantic,France,3,6000
FR_ChannelSea,France,3,6000
GreatBrit.,GB_CelticSea,3,6000
Ireland,GB_CelticSea,3,6000
GreatBrit.,GB_DoggerBank,3,6000
NO_Sørvest,GB_DoggerBank,3,6000
GreatBrit.,GB_IrelandSea,3,6000
Ireland,GB_IrelandSea,3,6000
GreatBrit.,GB_ScotlandEast,3,6000
NO_Sørvest,GB_ScotlandEast,3,6000
NO_Vestavind,GB_ScotlandEast,3,6000
GreatBrit.,GB_SheppeyIsland,3,6000
NL_Lagelander,GB_SheppeyIsland,3,6000
IE_Atlantic,Ireland,3,6000
Spain,FR_Atlantic,3,6000
NL_Lagelander,Netherlands,3,6000
NO_Sørvest,NO2,3,6000
NO_Vestavind,NO2,3,6000
NO_Vestavind,NO3,3,6000
NO_Sørvest,NO5,3,6000
NO_Vestavind,NO5,3,6000
PL_BalticSea,Poland,3,6000
SE_BalticSea,Sweden,3,6000
SE_BotnieGulf,Sweden,3,6000
SE_Luleå,Sweden,3,6000
