GeneratorTechnology,generatorVariableOMcosts_in_euro_per_MWh
Bio,3.77
Coal,2.54
CoalCCS,6.96
GasCCGT,2.45
GasCCS,3.27
Geo,0.12
Hydroregulated,0.34
Hydrorun-of-the-river,0.0
Lignite,3.17
LigniteCCS,5.61
Nuclear,6.77
Wave,0.11
Waste,0.86
Windoffshore,0.42
Windoffshoregrounded,0.42
Windonshore,0.19
Solar,0.0
Bio10cofiring,0.51
Bio10cofiringCCS,3.87
GasOCGT,0.48
Windoffshorefloating,0.0
Hydrogenfuelcell,0.0
HydrogenCCGT,2.45
HydrogenOCGT,0.48
