FromNode,ToNode,LineType
Belgium,NO2,HVDC_Cable
Germany,Italy,HVAC_OverheadLine
Denmark,Poland,HVDC_Cable
Estonia,Sweden,HVDC_Cable
Spain,Ireland,HVDC_Cable
France,Ireland,HVDC_Cable
France,Luxemb.,HVAC_OverheadLine
Hungary,Poland,HVAC_OverheadLine
Hungary,Slovenia,HVAC_OverheadLine
Latvia,Sweden,HVDC_Cable
NO1,NO2,HVAC_OverheadLine
NO1,NO3,HVAC_OverheadLine
NO1,NO5,HVAC_OverheadLine
NO2,NO5,HVAC_OverheadLine
NO3,NO4,HVAC_OverheadLine
NO3,NO5,HVAC_OverheadLine
NO3,Sweden,HVAC_OverheadLine
NO4,Sweden,HVAC_OverheadLine
GreatBrit.,NO5,HVDC_Cable
Estonia,BalticCountries_BalticSea,HVDC_Offshore
Latvia,BalticCountries_BalticSea,HVDC_Offshore
Lithuania,BalticCountries_BalticSea,HVDC_Offshore
GreatBrit.,BE_PrincessElisabeth,HVDC_Offshore
EnergyHubEU,BE_PrincessElisabeth,HVDC_Offshore
NL_Lagelander,BE_PrincessElisabeth,HVDC_Offshore
GB_SheppeyIsland,BE_PrincessElisabeth,HVDC_Offshore
BE_PrincessElisabeth,Belgium,HVDC_Offshore
EnergyHubEU,Belgium,HVDC_Offshore
NL_Lagelander,Belgium,HVDC_Offshore
DK_NorthSea,DE_NorthSea,HVDC_Offshore
EnergyHubEU,DE_NorthSea,HVDC_Offshore
GB_DoggerBank,DE_NorthSea,HVDC_Offshore
NL_Lagelander,DE_NorthSea,HVDC_Offshore
Germany,DE_BalticSea,HVDC_Offshore
Germany,DE_NorthSea,HVDC_Offshore
DK_BalticSea,Denmark,HVDC_Offshore
DK_NorthSea,Denmark,HVDC_Offshore
EnergyHubEU,Denmark,HVDC_Offshore
EnergyHubEU,DK_NorthSea,HVDC_Offshore
GB_DoggerBank,DK_NorthSea,HVDC_Offshore
NO_Sørvest,DK_NorthSea,HVDC_Offshore
FR_ChannelSea,EnergyHubEU,HVDC_Offshore
GB_DoggerBank,EnergyHubEU,HVDC_Offshore
GB_ScotlandEast,EnergyHubEU,HVDC_Offshore
GB_SheppeyIsland,EnergyHubEU,HVDC_Offshore
Germany,EnergyHubEU,HVDC_Offshore
GreatBrit.,EnergyHubEU,HVDC_Offshore
Netherlands,EnergyHubEU,HVDC_Offshore
NL_Lagelander,EnergyHubEU,HVDC_Offshore
NO_Sørvest,EnergyHubEU,HVDC_Offshore
NO_Vestavind,EnergyHubEU,HVDC_Offshore
NO2,EnergyHubEU,HVDC_Offshore
NO3,EnergyHubEU,HVDC_Offshore
NO5,EnergyHubEU,HVDC_Offshore
FI_BalticSea,Finland,HVDC_Offshore
GreatBrit.,FR_ChannelSea,HVDC_Offshore
FR_Atlantic,France,HVDC_Offshore
FR_ChannelSea,France,HVDC_Offshore
GreatBrit.,GB_CelticSea,HVDC_Offshore
Ireland,GB_CelticSea,HVDC_Offshore
GreatBrit.,GB_DoggerBank,HVDC_Offshore
NO_Sørvest,GB_DoggerBank,HVDC_Offshore
GreatBrit.,GB_IrelandSea,HVDC_Offshore
Ireland,GB_IrelandSea,HVDC_Offshore
GreatBrit.,GB_ScotlandEast,HVDC_Offshore
NO_Sørvest,GB_ScotlandEast,HVDC_Offshore
NO_Vestavind,GB_ScotlandEast,HVDC_Offshore
GreatBrit.,GB_SheppeyIsland,HVDC_Offshore
NL_Lagelander,GB_SheppeyIsland,HVDC_Offshore
IE_Atlantic,Ireland,HVDC_Offshore
Spain,FR_Atlantic,HVDC_Offshore
NL_Lagelander,Netherlands,HVDC_Offshore
NO_Sørvest,NO2,HVDC_Offshore
NO_Vestavind,NO2,HVDC_Offshore
NO_Vestavind,NO3,HVDC_Offshore
NO_Sørvest,NO5,HVDC_Offshore
NO_Vestavind,NO5,HVDC_Offshore
PL_BalticSea,Poland,HVDC_Offshore
SE_BalticSea,Sweden,HVDC_Offshore
SE_BotnieGulf,Sweden,HVDC_Offshore
SE_Luleå,Sweden,HVDC_Offshore
BalticCountries_BalticSea,Estonia,HVDC_Offshore
BalticCountries_BalticSea,Latvia,HVDC_Offshore
BalticCountries_BalticSea,Lithuania,HVDC_Offshore
BE_PrincessElisabeth,GreatBrit.,HVDC_Offshore
BE_PrincessElisabeth,EnergyHubEU,HVDC_Offshore
BE_PrincessElisabeth,NL_Lagelander,HVDC_Offshore
BE_PrincessElisabeth,GB_SheppeyIsland,HVDC_Offshore
Belgium,BE_PrincessElisabeth,HVDC_Offshore
Belgium,EnergyHubEU,HVDC_Offshore
Belgium,NL_Lagelander,HVDC_Offshore
DE_NorthSea,DK_NorthSea,HVDC_Offshore
DE_NorthSea,EnergyHubEU,HVDC_Offshore
DE_NorthSea,GB_DoggerBank,HVDC_Offshore
DE_NorthSea,NL_Lagelander,HVDC_Offshore
DE_BalticSea,Germany,HVDC_Offshore
DE_NorthSea,Germany,HVDC_Offshore
Denmark,DK_BalticSea,HVDC_Offshore
Denmark,DK_NorthSea,HVDC_Offshore
Denmark,EnergyHubEU,HVDC_Offshore
DK_NorthSea,EnergyHubEU,HVDC_Offshore
DK_NorthSea,GB_DoggerBank,HVDC_Offshore
DK_NorthSea,NO_Sørvest,HVDC_Offshore
EnergyHubEU,FR_ChannelSea,HVDC_Offshore
EnergyHubEU,GB_DoggerBank,HVDC_Offshore
EnergyHubEU,GB_ScotlandEast,HVDC_Offshore
EnergyHubEU,GB_SheppeyIsland,HVDC_Offshore
EnergyHubEU,Germany,HVDC_Offshore
EnergyHubEU,GreatBrit.,HVDC_Offshore
EnergyHubEU,Netherlands,HVDC_Offshore
EnergyHubEU,NL_Lagelander,HVDC_Offshore
EnergyHubEU,NO_Sørvest,HVDC_Offshore
EnergyHubEU,NO_Vestavind,HVDC_Offshore
EnergyHubEU,NO2,HVDC_Offshore
EnergyHubEU,NO3,HVDC_Offshore
EnergyHubEU,NO5,HVDC_Offshore
Finland,FI_BalticSea,HVDC_Offshore
FR_ChannelSea,GreatBrit.,HVDC_Offshore
France,FR_Atlantic,HVDC_Offshore
France,FR_ChannelSea,HVDC_Offshore
GB_CelticSea,GreatBrit.,HVDC_Offshore
GB_CelticSea,Ireland,HVDC_Offshore
GB_DoggerBank,GreatBrit.,HVDC_Offshore
GB_DoggerBank,NO_Sørvest,HVDC_Offshore
GB_IrelandSea,GreatBrit.,HVDC_Offshore
GB_IrelandSea,Ireland,HVDC_Offshore
GB_ScotlandEast,GreatBrit.,HVDC_Offshore
GB_ScotlandEast,NO_Sørvest,HVDC_Offshore
GB_ScotlandEast,NO_Vestavind,HVDC_Offshore
GB_SheppeyIsland,GreatBrit.,HVDC_Offshore
GB_SheppeyIsland,NL_Lagelander,HVDC_Offshore
Ireland,IE_Atlantic,HVDC_Offshore
FR_Atlantic,Spain,HVDC_Offshore
Netherlands,NL_Lagelander,HVDC_Offshore
NO2,NO_Sørvest,HVDC_Offshore
NO2,NO_Vestavind,HVDC_Offshore
NO3,NO_Vestavind,HVDC_Offshore
NO5,NO_Sørvest,HVDC_Offshore
NO5,NO_Vestavind,HVDC_Offshore
Poland,PL_BalticSea,HVDC_Offshore
Sweden,SE_BalticSea,HVDC_Offshore
Sweden,SE_BotnieGulf,HVDC_Offshore
Sweden,SE_Luleå,HVDC_Offshore
